date,close
2026-08-03,4761.024
2026-08-04,5082.69
2026-08-05,5309.507
2026-08-06,5430.315
2026-08-07,5642.365
2026-08-10,5571.353
2026-08-11,5555.976
2026-08-12,5721.673
2026-08-13,5666.286
2026-08-14,5833.173
2026-08-17,6079.543
2026-08-18,6074.692
2026-08-19,5580.15
2026-08-20,5688.992
2026-08-21,5769.696
2026-08-24,5619.104
2026-08-25,5671.749
2026-08-26,5656.125
2026-08-27,5908.768
2026-08-28,5841.261
2026-08-31,5973.379
2026-09-01,5815.882
2026-09-02,5757.765
2026-09-03,5797.542
2026-09-04,5639.511
2026-09-07,5954.702
2026-09-08,5919.018
2026-09-09,5947.765
2026-09-10,5909.619
